name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
Bysshe Partnership,Durham Wharf,Hammersmith Terrace,,Hammersmith and Fulham,http://www.bysshe.co/,34133903,E09000013,Ravenscourt,E05013746,51.48873617,-0.242110572,522144.3379,178107.7364
Cover-Tex Ltd,56-58 Fowler Road,,,Redbridge,https://www.covertexltd.co.uk,1.00023E+11,E09000026,Hainault,E05011245,51.60837451,0.126398858,547340.2777,192090.1203
Embroidery BY Design Limited,Unit 3,24 Wandsworth Road,,Ealing,https://www.embroidery-by-design.co.uk/,12087939,E09000009,Perivale,E05013534,51.53512597,-0.310147826,517301.7549,183155.3002
Fabrications,7 Broadway Market,,,Hackney,https://fabrications1.co.uk,1.00023E+11,E09000012,London Fields,E05009381,51.53542244,-0.060729564,534598.6417,183617.278
Insley & Nash,Unit 56 ,Parkside Business Estate,,Lewisham,http://www.insleyandnash.co.uk/,1.00023E+11,E09000023,Deptford,E05013719,51.48275888,-0.036071934,536465.9155,177806.6709
Just Jersey Ltd,Unit 15,Etloe Road,,Waltham Forest,,1.00023E+11,E09000031,Leyton,E05013896,51.56374574,-0.02049135,537303.9486,186841.5631
Nicola Killeen Textiles,8 Audrey Street,,,Tower Hamlets,http://www.nktextiles.com/contact.html,1.00023E+11,E09000030,St Peter's,E05009331,51.53272517,-0.064045491,534376.6223,183311.2291
Protech Embroidery Ltd,Unit 44,Argall Avenue,,Waltham Forest,https://protechemb.co.uk,1.00024E+11,E09000031,Lea Bridge,E05013895,51.5704627,-0.041313766,535840.8457,187549.6772
Woven,Studio E01,400 Caledonian Road,,Islington,http://www.rarethread.co.uk/,10091006312,E09000019,Barnsbury,E05013698,51.54231601,-0.115071278,530810.2407,184285.2481
Building BloQs,4 Anthony Way,,,Enfield,http://buildingbloqs.com,207197342,E09000010,Upper Edmonton,E05013694,51.60814691,-0.037077531,536021.9659,191748.2007
The  Chocolate Factory,5 Clarendon Road,,,Haringey,https://www.workspace.co.uk/workspaces/the-chocolate-factory,10003979446,E09000014,Noel Park,E05013595,51.59465,-0.11471,530685.3022,190105.6207
Clockwork Studios,38 Southwell Road,,,Lambeth,http://www.clockworkstudios.co.uk/,10093379709,E09000022,Herne Hill & Loughborough Junction,E05014104,51.46662,-0.09846,532180.8098,175897.6194
Cockpit Bloomsbury,Cockpit Yard,Northington Street,,Camden,https://cockpitstudios.org,5129260,E09000007,Holborn & Covent Garden,E05013662,51.521494,-0.11620561,530791.2257,181967.7979
Cockpit Deptford,Cockpit Arts,18-22 Creekside,,Lewisham,https://cockpitstudios.org,1.00023E+11,E09000023,Deptford,E05013719,51.478626,-0.020677597,537547.1945,177375.9015
Make Space Studios,Newnham Terrace,,,Lambeth,http://www.makespacestudios.com,10001114119,E09000022,Waterloo & South Bank,E05014118,51.498633,-0.11328718,531059.2524,179430.8559
Stoke Newington Library,184 Stoke Newington Church Street,,,Hackney,https://spacestudios.org.uk/buildings/stoke-newington-library/,1.00023E+11,E09000012,Clissold,E05009369,51.561617,-0.082822041,532990.2008,186489.7439
Kingsgate Workshops,110-116 Kingsgate Road,,,Camden,www.kingsgateworkshops.org.uk,5087816,E09000007,Kilburn,E05013665,51.544352,-0.19684605,525134.2782,184368.7438
Fashion Formula,"Unit 14, Sapcote Trading Estate, High Rd",,,Brent,http://www.fashion-formula.com,202040339,E09000005,Roundwood,E05013509,51.550533,-0.24269974,521938.3158,184978.7252
Kindred Studios,13 Market Lane,Sheperds Bush,,Hammersmith and Fulham,https://www.kindredstudios.co.uk/,34164567,E09000013,Shepherd's Bush Green,E05013748,51.503473,-0.22637003,523197.3699,179772.8501
The London Embroidery Studio,"38 Ermine Mews, Laburnum St, London, E2 8BF",,,Hackney,https://www.londonembroiderystudio.com/,1.00024E+11,E09000012,Haggerston,E05009375,51.535542,-0.07587201,533548.1562,183602.8004
Hand & Lock,"86 Margaret Street, London, W1W 8TE",,,Westminster,https://handembroidery.com,1.00023E+11,E09000033,West End,E05013808,51.517112,-0.13802074,529290.2542,181441.7865
Oxo Tower Wharf,Barge House St,South Bank,,Southwark,https://coinstreet.org/oxo-tower-wharf,2.00003E+11,E09000028,Borough & Bankside,E05011095,51.508346,-0.10836102,531373.2352,180519.7701
Triangle,129-131 Mare Street,Hackney,,Hackney,https://spacestudios.org.uk/buildings/triangle-e8/,1.00024E+11,E09000012,London Fields,E05009381,51.538442,-0.057580331,534808.1239,183958.8662
Watts & Co.,"7 Tufton Street,  London,  SW1P 3QE",,,Westminster,https://www.wattsandco.com,1.00023E+11,E09000033,St James's,E05013806,51.49757,-0.12834329,530017.2716,179285.8236
Peckham Levels,Level 1 To 6 Peckham Town Centre Car Park,,95a Rye Lane,Southwark,https://www.peckhamlevels.org/about,2.00003E+11,E09000028,Rye Lane,E05011113,51.470741,-0.068232581,534268.2198,176410.8463
Craft Central / The Forge,397-411 Westferry Road,,,Tower Hamlets,www.craftcentral.org.uk,6653025,E09000030,Island Gardens,E05009324,51.48879,-0.01918591,537620.1695,178508.9308
Switchboard Studios,Switchboard Studios,153-157 Blackhorse Lane,,Waltham Forest,https://wfculture19.co.uk/switchboard-studios,1.00024E+11,E09000031,Higham Hill,E05013892,51.595161,-0.04156062,535750.2453,190295.7757
Mirjam Rouden Ltd,"Unit 11, Links Yard, 29a Spelman St, London E1 5LX",,,Hackney,https://www.instagram.com/mirjamrouden/,10008304101,E09000012,Hoxton East & Shoreditch,E05009377,51.529358,-0.080991367,533211.1749,182905.7821
Helena Gavshon Design for Textiles,"6 Southam Street, London W10 5PH",,,Kensington and Chelsea,https://www.helenagavshon.com,217106275,E09000020,Golborne,E05009396,51.523264,-0.20739492,524460.3231,182005.7302
Pattern Textiles LTD,Unit 206 15 Pundersons Gardens London E2 9QG,,,Tower Hamlets,https://www.patterntextiles.co.uk,6172424,E09000030,St Peter's,E05009331,51.527657,-0.057996109,534811.1426,182758.7642
Circleline,"Unit E4, Dalston Culture House, 3 Bradbury St, Lon",,,Hackney,https://www.circlelinedesign.com,1.00024E+11,E09000012,Dalston,E05009370,51.548667,-0.076154851,533490.1614,185061.8317
Pill Box,"115 Coventry Road, Bethnal Green, E2 6GG",,,Tower Hamlets,https://www.workspace.co.uk/workspaces/pill-box,10091966014,E09000030,St Peter's,E05009331,51.525194,-0.057481043,534854.1447,182485.8204
Vanguard Court Studios,"Rear of 36-38 Peckham Road, Camberwell, London SE5",,,Southwark,www.vanguardcourt.org,10000812526,E09000028,St Giles,E05011115,51.47278,-0.08135,533351.2677,176613.6183
Grow Studios,"86b & 98c Wallis Road, Main Yard Hackney Wick, E9 ",,,Hackney,https://www.growhackneystudios.com/home/,1.00023E+11,E09000012,Hackney Wick,E05009374,51.544389,-0.022757378,537205.0919,184684.821
Embroidered Polo Shirts,"UNIT 12B, ABBEY INDUSTRIAL AREA, Canning Rd, Londo",,,Newham,https://www.embroidered-polo-shirts.com,10008998902,E09000025,Stratford,E05013924,51.531443,0.003499181,539065.096,183294.7337
Alpha Embroidery Services Ltd,"168, Railway Arches, Midland Rd, London E10 6JT",,,Waltham Forest,https://www.alphaembroidery.co.uk,2.00001E+11,E09000031,Forest,E05013887,51.569141,-0.006027057,538290.0917,187468.7588
Roxy Embroidery Ltd,"Kubrick Business Estate, Station Approach, London ",,,Newham,http://roxyembroidery.com/how-its-made,10008999392,E09000025,Forest Gate North,E05013911,51.551693,0.026140924,540573.1292,185589.8435
